index;filename;duration;tracks;sustain
73;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in B-flat Minor, WTC II.mid";6;2;6853
74;"./BACH JOHANN SEBASTIAN/Prelude and Fuge in G-sharp Minor, WTC I, BWV 863.mid";5;2;2245
75;"./BACH JOHANN SEBASTIAN/ Prélude et fugue en ut majeur BWV 846.mid";5;2;4770
76;"./BACH JOHANN SEBASTIAN/Toccata in DMin..mid";9;2;5675
77;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in D Major, WTC II, BWV 874.mid";3;2;2825
78;"./BACH JOHANN SEBASTIAN/Wachet  auf, ruft uns die Stimme BWV 645.mid";3;2;4048
79;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in F-sharp Minor, WTC II, BWV 883.mid";8;2;15397
80;"./BACH JOHANN SEBASTIAN/Partita No. 2 in C Minor, I. Sinfonia.mid";4;2;959
81;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in D Major, Book II.mid";5;2;6398
82;"./BACH JOHANN SEBASTIAN/Prelude & Fugue in B flat minor Book I BWV 867.mid";5;2;3772
83;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in A Minor, WTC II, BWV 847.mid";4;2;2110
84;"./BACH JOHANN SEBASTIAN/French Suite No. 5 in G Major.mid";2;2;319
85;"./BACH JOHANN SEBASTIAN/12 Variations on a Theme from a Menuet by Fischer.mid";11;2;14016
86;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in A Minor, WTC II, BWV 889.mid";4;2;1156
87;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in A-flat Major, WTC I.mid";4;2;3209
88;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in D Minor, WTC II, BWV 875.mid";3;2;103
89;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in D-flat Major, WTC I, BWV 848.mid";4;2;961
90;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in G Major, WTC II, BWV 884.mid";2;2;28
91;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in C Minor, WTC II, BWV 871.mid";4;2;2529
92;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in C-Sharp Minor, WTC I, BWV 849.mid";5;2;2892
93;"./BACH JOHANN SEBASTIAN/Prelude from the English Suite No. 1 in A Major, BWV 806.mid";4;2;1762
94;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in D major, WTC I.mid";4;2;1981
95;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in E-flat Minor WTC I, BWV 853.mid";9;2;6993
96;"./BACH JOHANN SEBASTIAN/Chaconne in D Minor, BWV 1004.mid";14;2;11266
97;"./BACH JOHANN SEBASTIAN/Chromatic Fantasy and Fugue in D Minor, BWV 903.mid";12;2;10334
98;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in A Minor, WTC II,  BWV 889.mid";4;2;1061
99;"./BACH JOHANN SEBASTIAN/Prelude from English Suite No. 6 in D Minor, BWV 811.mid";7;2;1282
100;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in B Minor, WTC II, BWV 893.mid";4;2;523
101;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in F Minor, WTC I, BWV 857.mid";6;2;9096
102;"./BACH JOHANN SEBASTIAN/Prelude & Fugue in G Minor, WTK II.mid";5;2;3267
103;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in E Major, WTC I, BWV 854.mid";3;2;1431
104;"./BACH JOHANN SEBASTIAN/Air On A G String (J S Bach).mid";2;2;232
105;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in A Major, WTC I, BWV 864.mid";4;2;802
106;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in B Minor, WTC II.mid";4;2;1039
107;"./BACH JOHANN SEBASTIAN/Overture in the French Style in B Minor, BWV 831.mid";7;2;4536
108;"./BACH JOHANN SEBASTIAN/Italian Concerto in F Major, BWV 971 (Complete).mid";13;2;6041
109;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in E-flat Major, WTC II, BWV 876.mid";4;2;2224
110;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in C Major, WTC II, BWV 846.mid";4;2;746
111;"./BACH JOHANN SEBASTIAN/Partita No. 6 in E Minor.mid";21;2;25292
112;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in C Major, WTC  II, BWV 870.mid";4;2;2007
113;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in F Major, WTC II.mid";5;2;1037
114;"./BACH JOHANN SEBASTIAN/Toccata from Partita No. 6 in E Minor, Missing Opening!!!!.mid";6;2;2791
115;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in C-sharp Minor, WTC I.mid";5;2;1911
116;"./BACH JOHANN SEBASTIAN/Sheep May Safely Graze, from Bachs Birthday Cantata.mid";5;2;3666
117;"./BACH JOHANN SEBASTIAN/Sheep May Safely Graze.mid";4;2;3469
118;"./BACH JOHANN SEBASTIAN/Prelude from the English Suite No. 2 in A Minor, BWV 807.mid";3;2;702
119;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in G Major, WTC I, BWV 860.mid";4;2;343
120;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in E Minor WTC I, BWV 855.mid";3;2;3027
121;"./BACH JOHANN SEBASTIAN/Prelude from the English Suite No. 6 in D Minor, BWV 811.mid";8;2;3945
122;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in A Minor, WTC I, BWV 865.mid";5;2;1494
123;"./BACH JOHANN SEBASTIAN/Jesu, Joy of Man’s Desiring, BWV 147.mid";3;2;1691
124;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in F-sharp Minor, WTC II.mid";7;2;12
125;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in B-Moll, No. 22 WTKII.mid";7;2;3954
126;"./BACH JOHANN SEBASTIAN/Partita in C Minor, BWV 826.mid";19;2;472
127;"./BACH JOHANN SEBASTIAN/Partita No. 4 in D Major, BWV 828.mid";18;2;16355
128;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in G Minor, WTC II.mid";6;2;5032
129;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in C-sharp Major, WTC I, BWV 848-2.mid";3;2;889
130;"./BACH JOHANN SEBASTIAN/Italian Concerto, BWV 971 (Complete).mid";13;2;7656
131;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in D Minor, Book II.mid";3;2;1970
132;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in B-flat Minor, WTC I, BWV 867.mid";6;2;3847
133;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in C-sharp Minor, Book I, BWV 849.mid";8;2;8649
134;"./BACH JOHANN SEBASTIAN/Italian Concerto, BWV 971.mid";12;2;8222
135;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in E-flat Major, WTC I.mid";6;2;3418
136;"./BACH JOHANN SEBASTIAN/Partita No. 1 in B-Flat Major, BWV 825 (Complete).mid";16;2;16553
137;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in F Major, WTC I, BWV 856.mid";2;2;159
138;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in E Major, WTC I, BWV 854  .mid";3;2;702
139;"./BACH JOHANN SEBASTIAN/Chaconne in D Minor.mid";13;2;4334
140;"./BACH JOHANN SEBASTIAN/Prelude from English Suite No. 3 in G Major.mid";3;2;209
